ID,Respondent,Program Offered,Type,Intake ,Location,Role ,Industry Experience ,Academic Experience ,On Campus Placement ,Off Campus Placement ,Age ,Gender ,Native Place ,Stream,Highest Qualification
ASB ,R54,MBA of University Campus ,Private ,200,City,Student - 1st year MBA/ PGDM student ,0 ,1 ,95,5,22,Male ,City ,Arts,Bachelors degree
ASB ,R56,MBA of University Campus ,Private ,190,Village ,Student - 1st year MBA/ PGDM student ,0 ,0 ,95,10 ,22,Male ,City ,Commerce,Bachelors degree
ASB ,R59,MBA of University Campus ,Private ,200,Town,Student - 2nd year MBA/ PGDM student ,0 ,15,60,40 ,20,Female ,City ,Science ,Masters Degree
OT,R9 ,MBA of University Campus ,Public,60 ,Metrocity ,Leadership - Director/ Principal ,0 ,37,40,30 ,64,Male ,City ,Commerce,PhD/ Fellow
OT,R10,MBA of University Campus ,Private ,1200 ,Metrocity ,Academic - Professor ,25,18,91,0,66,Male ,City ,Science ,PhD/ Fellow
OT,R11,MBA of college affiliated to Universisty ,Private ,120,City,"Academic - Associate Professor, Leadership - Head of Dept." ,3 ,17,0 ,60 ,47,Female ,City ,Science ,PhD/ Fellow
OT,R12,MBA of college affiliated to Universisty ,Private ,120,Town,Leadership - Director/ Principal ,0 ,25,74,10 ,47,Female ,City ,Science ,PhD/ Fellow
OT,R13,MBA of college affiliated to Universisty ,Public,40 ,Town,Academic - Associate Professor ,6 ,9 ,50,45 ,56,Female ,Town ,Arts,PhD/ Fellow
OT,R14,MBA of college affiliated to Universisty ,Private ,180,Town,Academic - Professor ,28,5 ,80,10 ,52,Male ,Town ,Science ,PhD/ Fellow
OT,R15,MBA of college affiliated to Universisty ,Public,50 ,City,Academic - Asst. Professor ,1 ,3 ,50,50 ,33,Female ,City ,Management,Masters Degree
OT,R16,MBA of college affiliated to Universisty ,Private ,180,Town,Leadership - Dean,2 ,23,25,50 ,51,Male ,Village,Engineering/ Technology ,PhD/ Fellow
